ZTFID,IAUID,discID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,hostabs,hostcol,covcode,qualcode,purecode,b,A_V
ZTF22aajpgof,SN2022jsg,ZTF22aajpgof,15:39:47.12,-20:09:52.7,1719.90,r,18.3714,-19.37,24.059,10.412,13.647,SN Ia,0.07,-19.05,0.19,"11111","111111","11",27.56893471,0.385
ZTF22aaijrul,SN2022jsn,ZTF22aaijrul,21:35:51.21,+10:51:07.3,1713.94,g,18.2966,-19.88,24.65,12.639,12.011,SN Ia,0.09,-18.60,0.22,"11111","111111","11",-29.26089645,0.165
ZTF22aahhlnd,SN2022ied,ATLAS22mrc,12:59:37.27,+05:36:52.7,1709.72,r,17.35,-19.46,26.528,8.723,17.805,SN Ia,0.051,-17.64,0.46,"10111","111111","11",68.39828515,0.095
ZTF22aagsmli,SN2022imy,ZTF22aagsmli,10:36:28.06,+44:52:58.2,1690.76,g,18.3769,-19.29,21.343,7.171,14.172,SN Ia,0.07610,-23.32,0.98,"11111","111111","11",57.79451444,0.052
ZTF22aafqamd,SN2022hqu,ZTF22aafqamd,08:23:56.74,+42:06:42.8,1694.76,g,18.1268,-19.07,>27.002,9.062,>17.94,SN Ia,0.059,-21.06,1.09,"11111","111111","11",34.40868765,0.127
ZTF22aafoweb,SN2022hox,ZTF22aafoweb,15:03:27.71,+34:24:52.4,1695.87,g,17.6622,-19.36,23.544,8.644,14.9,SN Ia,0.05707,-21.47,1.07,"11111","111111","11",60.86013997,0.04
ZTF22aajryew,SN2022jte,ZTF22aajryew,18:00:11.06,+48:39:16.4,1717.85,g,17.7241,-19.15,16.997,6.902,10.095,SN Ia,0.05096,-22.59,1.18,"11111","111111","11",28.21071213,0.125
ZTF22aaejjtb,SN2022gqh,ZTF22aaejjtb,09:38:08.78,+11:07:49.2,1685.75,r,18.5828,-18.76,19.965,9.039,10.926,SN Ia,0.065,-21.91,1.09,"11111","111111","11",41.96487128,0.1
ZTF22aaedgbt,SN2022fqo,PS22cqy,15:35:59.60,+03:25:39.2,1682.89,g,18.6782,-19.36,>19.108,>9.04,10.068,SN Ia,0.085,-18.56,0.42,"11111","111111","11",44.13320129,0.152
ZTF21acipdhn,SN2021abzk,ZTF21acipdhn,10:30:12.32,+78:48:23.1,1512.92,g,18.6026,-19.17,18.654,5.746,12.908,SN Ia,0.079,-23.14,1.12,"11111","111111","11",36.03646359,0.069

